date,year,month,previous_day_rain_mm,season,rain_amount_mm,rain_occurrence,pred_rainfall,pred_rain_occurrence,rain_probability,error,sample_type
20140923,2014,9,0.0,Fall,0.0,0,1.2530812307732146,0,0.19571832268940523,1.2530812307732146,train
20140924,2014,9,0.0,Fall,0.0,0,1.2530812307732146,0,0.19571832268940523,1.2530812307732146,train
20140925,2014,9,0.0,Fall,21.0,1,1.2530812307732146,0,0.19571832268940523,-19.746918769226784,train
20140926,2014,9,21.0,Fall,0.0,0,1.8815964306941746,1,0.6919709270324219,1.8815964306941746,train
20140927,2014,9,0.0,Fall,3.4,1,1.2530812307732146,0,0.19571832268940523,-2.1469187692267853,train
20140928,2014,9,3.4,Fall,0.0,0,2.8793594731425656,1,0.5419499686286817,2.8793594731425656,train
20140929,2014,9,0.0,Fall,0.0,0,1.2530812307732146,0,0.19571832268940523,1.2530812307732146,train
20140930,2014,9,0.0,Fall,1.7,1,1.2530812307732146,0,0.19571832268940523,-0.4469187692267853,train
20141001,2014,10,1.7,Fall,0.2,1,2.915550500113299,1,0.6505303607247664,2.7155505001132987,train
20141002,2014,10,0.2,Fall,0.0,0,2.2943796902151408,1,0.5676656866691768,2.2943796902151408,train
20141003,2014,10,0.0,Fall,0.0,0,1.4905767499744744,0,0.4259231986977472,1.4905767499744744,train
20141004,2014,10,0.0,Fall,0.0,0,1.4905767499744744,0,0.4259231986977472,1.4905767499744744,train
20141005,2014,10,0.0,Fall,2.5,1,1.4905767499744744,0,0.4259231986977472,-1.0094232500255256,train
20141006,2014,10,2.5,Fall,0.2,1,3.2468926769320783,1,0.764365243039133,3.046892676932078,train
20141007,2014,10,0.2,Fall,3.2,1,2.2943796902151408,1,0.5676656866691768,-0.9056203097848594,train
20141008,2014,10,3.2,Fall,2.3,1,1.3591074535157839,1,0.6405700009380373,-0.9408925464842159,train
20141009,2014,10,2.3,Fall,4.5,1,3.3747135583211225,1,0.7989553887017223,-1.1252864416788775,train
20141010,2014,10,4.5,Fall,0.0,0,5.848526378146431,1,0.5879033490222374,5.848526378146431,train
20141011,2014,10,0.0,Fall,0.0,0,1.4905767499744744,0,0.4259231986977472,1.4905767499744744,train
