STN,YYYYMMDD,RD,SX
919,20151102,0,0
919,20151103,0,0
919,20151104,0,0
919,20151105,0,0
919,20151106,37,0
919,20151107,6,0
919,20151108,2,0
919,20151109,28,0
919,20151110,0,0
919,20151111,6,0
919,20151112,0,0
919,20151113,0,0
919,20151114,51,0
919,20151115,112,0
919,20151116,17,0
919,20151117,98,0
919,20151118,17,0
919,20151119,6,0
919,20151120,74,0
919,20151121,22,0
919,20151122,32,0
919,20151123,3,0
919,20151124,0,0
919,20151125,98,0
919,20151126,11,0
919,20151127,1,0
919,20151128,23,0
919,20151129,51,0
919,20151130,61,0
919,20151201,206,0
919,20151202,10,0
919,20151203,0,0
919,20151204,49,0
919,20151205,0,0
919,20151206,0,0
919,20151207,0,0
919,20151208,0,0
919,20151209,23,0
919,20151210,1,0
919,20151211,60,0
919,20151212,40,0
919,20151213,51,0
919,20151214,11,0
919,20151215,3,0
919,20151216,43,0
919,20151217,30,0
919,20151218,4,0
919,20151219,0,0
919,20151220,0,0
919,20151221,8,0
919,20151222,41,0
919,20151223,2,0
919,20151224,0,0
919,20151225,51,0
919,20151226,6,0
919,20151227,0,0
919,20151228,0,0
919,20151229,0,0
919,20151230,0,0
919,20151231,18,0
919,20160101,0,0
919,20160102,29,0
919,20160103,54,0
919,20160104,125,0
919,20160105,3,0
919,20160106,12,0
919,20160107,5,0
919,20160108,85,0
919,20160109,2,0
919,20160110,9,0
919,20160111,3,0
919,20160112,42,0
919,20160113,68,0
919,20160114,18,0
919,20160115,62,0
919,20160116,16,0
919,20160117,8,998
919,20160118,0,0
919,20160119,0,0
919,20160120,0,0
919,20160121,4,0
919,20160122,0,0
919,20160123,64,0
919,20160124,16,0
919,20160125,5,0
919,20160126,0,0
919,20160127,33,0
919,20160128,77,0
919,20160129,0,0
919,20160130,141,0
919,20160131,107,0
919,20160201,52,0
919,20160202,12,0
919,20160203,44,0
919,20160204,17,0
919,20160205,49,0
919,20160206,6,0
919,20160207,12,0
919,20160208,59,0
919,20160209,58,0
919,20160210,211,0
919,20160211,26,0
919,20160212,1,0
919,20160213,0,0
919,20160214,41,0
919,20160215,92,0
919,20160216,0,0
919,20160217,1,0
919,20160218,0,0
919,20160219,17,0
919,20160220,27,0
919,20160221,112,0
919,20160222,49,0
919,20160223,147,0
919,20160224,28,0
919,20160225,2,0
919,20160226,2,0
919,20160227,0,0
919,20160228,0,0
919,20160229,0,0
919,20160301,0,0
919,20160302,99,0
919,20160303,86,0
919,20160304,28,0
919,20160305,131,0
919,20160306,34,0
919,20160307,16,0
919,20160308,2,0
919,20160309,4,0
919,20160310,0,0
919,20160311,0,0
919,20160312,0,0
919,20160313,0,0
919,20160314,0,0
919,20160315,0,0
919,20160316,0,0
919,20160317,0,0
919,20160318,0,0
919,20160319,0,0
919,20160320,0,0
919,20160321,7,0
919,20160322,3,0
919,20160323,2,0
919,20160324,1,0
919,20160325,51,0
919,20160326,23,0
919,20160327,69,0
919,20160328,14,0
919,20160329,18,0
919,20160330,11,0
919,20160331,11,0
919,20160401,0,0
919,20160402,0,0
919,20160403,4,0
919,20160404,3,0
919,20160405,16,0
919,20160406,16,0
919,20160407,11,0
919,20160408,61,0
919,20160409,18,0
919,20160410,11,0
919,20160411,0,0
919,20160412,46,0
919,20160413,21,0
919,20160414,0,0
